Packet Sniffer Output
Started on: 2024-12-03 12:54:12.443695
============================================================
Active Filters:
============================================================
Source              Destination         Protocol  Info                          Latency   
============================================================
192.168.2.1         224.0.0.251         UDP       49001 -> 5353                 N/A
fe80::ccb8:7c7c:4081:a9a4fe80::16cb:19ff:fe10:22ecUDP       63554 -> 161                  N/A
fe80::16cb:19ff:fe10:22ecfe80::ccb8:7c7c:4081:a9a4UDP       161 -> 63554                  0.107483s
192.168.2.29        162.159.135.232     UDP       60214 -> 443                  N/A
192.168.2.29        162.159.135.232     UDP       60214 -> 443                  N/A
162.159.135.232     192.168.2.29        UDP       443 -> 60214                  0.188223s
162.159.135.232     192.168.2.29        UDP       443 -> 60214                  0.218333s
162.159.135.232     192.168.2.29        UDP       443 -> 60214                  N/A
162.159.135.232     192.168.2.29        UDP       443 -> 60214                  N/A
162.159.135.232     192.168.2.29        UDP       443 -> 60214                  N/A
192.168.2.29        162.159.135.232     UDP       60214 -> 443                  0.253780s
192.168.2.29        162.159.135.232     UDP       60214 -> 443                  0.284417s
192.168.2.29        162.159.135.232     UDP       60214 -> 443                  0.284282s
192.168.2.29        162.159.135.232     UDP       60214 -> 443                  N/A
192.168.2.29        162.159.135.232     UDP       60214 -> 443                  N/A
192.168.2.29        162.159.135.232     UDP       60214 -> 443                  N/A
192.168.2.29        162.159.135.232     UDP       60214 -> 443                  N/A
162.159.135.232     192.168.2.29        UDP       443 -> 60214                  0.298247s
162.159.135.232     192.168.2.29        UDP       443 -> 60214                  0.333854s
192.168.2.29        162.159.135.232     UDP       60214 -> 443                  N/A
162.159.135.232     192.168.2.29        UDP       443 -> 60214                  0.495196s
162.159.135.232     192.168.2.29        UDP       443 -> 60214                  0.526531s
162.159.135.232     192.168.2.29        UDP       443 -> 60214                  0.301191s
192.168.2.29        162.159.135.232     UDP       60214 -> 443                  N/A
149.112.121.10      192.168.2.29        TCP       443 -> 62105                  N/A
192.168.2.29        149.112.121.10      TCP       62105 -> 443                  0.077906s
192.168.2.29        149.112.121.10      TCP       62105 -> 443                  N/A
192.168.2.29        149.112.121.10      TCP       62105 -> 443                  N/A
149.112.121.10      192.168.2.29        TCP       443 -> 62105                  0.219666s
192.168.2.29        149.112.121.10      TCP       62105 -> 443                  N/A
149.112.121.10      192.168.2.29        TCP       443 -> 62105                  0.297451s
192.168.2.29        35.186.224.45       TCP       55337 -> 443                  N/A
35.186.224.45       192.168.2.29        TCP       443 -> 55337                  0.141423s
35.186.224.45       192.168.2.29        TCP       443 -> 55337                  N/A
